song,song_type,film_name,year,language,lyricist,composer,singer
"chor chor, dekho dil kaa chor aayaa",Film song,Gehra Raaz,1971,Hindi,Asad Bhopali,Salil Chowdhury,Hemlata
Title music ,Film song,Mere Apne,1971,Hindi,Not applicable,Salil Chowdhury,Not applicable
Haal chaal Theek Thaak hai,Film song,Mere Apne,1971,Hindi,Gulzar,Salil Chowdhury,Kishore & Mukesh
"Roz akeli aaye, roj akeli jaaye",Film song,Mere Apne,1971,Hindi,Gulzar,Salil Chowdhury,Lata
"Ho ho, gangaa ki bhari god mei.n",Film song,Mere Apne,1971,Hindi,Gulzar,Salil Chowdhury,Manna Dey
Koi hotaa jisko apnaa hum apnaa,Film song,Mere Apne,1971,Hindi,Gulzar,Salil Chowdhury,KIshore
Title music,Film song,Annadata,1972,Hindi,Not applicable,Salil Chowdhury,not applicable
chal de wahaan,Film song,Annadata,1972,Hindi,Yogesh,Salil Chowdhury,"Manna Dey, Sabita and Chorus"
nisidin nisidin,Film song,Annadata,1972,Hindi,Yogesh,Salil Chowdhury,Lata
raaton keaaye ghane s,Film song,Annadata,1972,Hindi,Yogesh,Salil Chowdhury,Lata
guzar jaaye din,Film song,Annadata,1972,Hindi,Yogesh,Salil Chowdhury,Kishore
o meri pran sajani champabati aajaa,Film song,Annadata,1972,Hindi,Yogesh,Salil Chowdhury,"Kishore, Sabita and Chorus"
nain hamaare,Film song,Annadata,1972,Hindi,Yogesh,Salil Chowdhury,Mukesh
background music,Film song,Annadata,1972,Hindi,Not applicable,Salil Chowdhury,not applicable
title music,Film song,Anokha Daan,1972,Hindi,Not applicable,Salil Chowdhury,not applicable
madbhari ye hawaaein,Film song,Anokha Daan,1972,Hindi,Yogesh,Salil Chowdhury,Lata
hame yaad kabhi tum kar lenaa,Film song,Anokha Daan,1972,Hindi,Yogesh,Salil Chowdhury,Lata
aayee ghir ghir saawan ki,Film song,Anokha Daan,1972,Hindi,Yogesh,Salil Chowdhury,"Kishore,Sabita and Chorus"
mana ke hai zindagi ye safar,Film song,Anokha Daan,1972,Hindi,Yogesh,Salil Chowdhury,Manna Dey
hamrahi manzil ke,Film song,Anokha Daan,1972,Hindi,Yogesh,Salil Chowdhury,Kishore
manma more sataa,Film song,Anokha Milan,1972,Hindi,Yogesh,Salil Chowdhury,Sabita
bandhu re ye man dolay,Film song,Anokha Milan,1972,Hindi,Yogesh,Salil Chowdhury,Manna Dey
toraa sundor saami paabi,Film song,Anokha Milan,1972,Hindi,Traditional,Salil Chowdhury,Sabita and Chorus
marzi hai tumhaari,Film song,Mere Bhaiyaa,1972,Hindi,Yogesh,Salil Chowdhury,"Lata,Manna Dey"
pyaas liye manwaa ,Film song,Mere Bhaiyaa,1972,Hindi,Yogesh,Salil Chowdhury,Lata
chhoD chali ghar teraa baabul,Film song,Mere Bhaiyaa,1972,Hindi,Som Thakur,Salil Chowdhury,Lata
bhaiyaa re bhaiyaa _part_1,Film song,Mere Bhaiyaa,1972,Hindi,Yogesh,Salil Chowdhury,"Sushma ShreshTha, Jayshree, Naveen Kumar, chorus"
bhaiyaa re bhaiyaa _part_2,Film song,Mere Bhaiyaa,1972,Hindi,Yogesh,Salil Chowdhury,"Sushma ShreshTha, Jayshree, Naveen Kumar, chorus"
chanchal man par chhaaye,Film song,Mere Bhaiyaa,1972,Hindi,Yogesh,Salil Chowdhury,Manna Dey
"Dil dil se milega, Oh Yes dil milega",Film song,Mere Bhaiyaa,1972,Hindi,Yogesh,Salil Chowdhury,Nitin Mukesh and a female voice
"Chal chal chal re, pyaasa man mere",Film song,Sabse Badaa Sukh,1972,Hindi,Yogesh,Salil Chowdhury,Manna Dey & Chorus
Kai baar yoon bhi dekhaa hai,Film song,Rajanigandha,1974,Hindi,Yogesh,Salil Chowdhury,Mukesh
Rajnigandhaa phool tumhare mahke,Film song,Rajanigandha,1974,Hindi,Yogesh,Salil Chowdhury,Lata
O jaan-e-man jaan-e-man ,Film song,Rajanigandha,1974,Hindi,Yogesh,Salil Chowdhury,Asha & Yesudas
Na jaane kyun ,Film song,Rajanigandha,1974,Hindi,Yogesh,Salil Chowdhury,Lata
Ye din kyaa aaye,Film song,Rajanigandha,1974,Hindi,Yogesh,Salil Chowdhury,Mukesh
Title music,Film song,Chhoti si Baat,1975,Hindi,Not applicable,Salil Chowdhury,not applicable
O jaan-e-man jaan-e-man tere do nayan,Film song,Chhoti si Baat,1975,Hindi,Yogesh,Salil Chowdhury,Asha Bhonsle and Yesudas
Na jaane kyun hotaa hai ye zindagi ke saath,Film song,Chhoti si Baat,1975,Hindi,Yogesh,Salil Chowdhury,Lata Mangeshkar
Yeh din kyaa aaye lagey phool hansne,Film song,Chhoti si Baat,1975,Hindi,Yogesh,Salil Chowdhury,Mukesh
Title music,Film song,Sangat,1975,Hindi,Not applicable,Salil Chowdhury,Not applicable
Kaanha bole naa,Film song,Sangat,1975,Hindi,"Jan Nishar ""Akhtar""",Salil Chowdhury,Lata & Manna Dey
Balmaa moraa aancharaa,Film song,Sangat,1975,Hindi,"Jan Nishar ""Akhtar""",Salil Chowdhury,Lata & Manna Dey
dekhte dekhte ,Film song,Sangat,1975,Hindi,"Jan Nishar ""Akhtar""",Salil Chowdhury,Manna Dey
Chal bhai chal - part 1,Film song,Sangat,1975,Hindi,"Jan Nishar ""Akhtar""",Salil Chowdhury,Manna Dey
Chal bhai chal - part 2,Film song,Sangat,1975,Hindi,"Jan Nishar ""Akhtar""",Salil Chowdhury,Manna Dey
Title music,Film song,Jeevan Jyoti,1976,Hindi,Not applicable,Salil Chowdhury,Not applicable
Maujo.n ki Doli chali re,Film song,Jeevan Jyoti,1976,Hindi,Anand Bakshi,Salil Chowdhury,Kishore
Jis dwaare se ghar ki bahoo,Film song,Jeevan Jyoti,1976,Hindi,Anand Bakshi,Salil Chowdhury,Lata
"Ye ghunghroo, ye ghunghroo",Film song,Jeevan Jyoti,1976,Hindi,Anand Bakshi,Salil Chowdhury,Asha
raanjhe ki aankhon mein,Film song,Jeevan Jyoti,1976,Hindi,Anand Bakshi,Salil Chowdhury,Lata
Duniyaa rang badalti jaaye,Film song,Jeevan Jyoti,1976,Hindi,Anand Bakshi,Salil Chowdhury,Lata
Suno suno sunaate hain,Film song,Jeevan Jyoti,1976,Hindi,Anand Bakshi,Salil Chowdhury,Asha & Usha
Dance music,Film song,Jeevan Jyoti,1976,Hindi,Not applicable,Salil Chowdhury,Not applicable
Suhaag reet atauri chetanaa ko,Film song,Mrigayaa,1976,Hindi,Unknown,Salil Chowdhury,Md. Rafi & Pankaj Mitra
Gaay garua se bharti hai ,Film song,Mrigayaa,1976,Hindi,Unknown,Salil Chowdhury,Md. Rafi & Pankaj Mitra
Title music,Film song,Udaan Chhoo,1976,Hindi,Not applicable,Salil Chowdhury,Not applicable
Tan ke chhoTe hai.n to kyaa,Film song,Udaan Chhoo,1976,Hindi,Shivendra Sinha,Salil Chowdhury,Sunil Kumar & Chorus
Tan ke chhoTe hai.n to kyaa - slow version,Film song,Udaan Chhoo,1976,Hindi,Shivendra Sinha,Salil Chowdhury,Sunil Kumar & Chorus
Chhuk chhuk rail chale,Film song,Udaan Chhoo,1976,Hindi,Shivendra Sinha,Salil Chowdhury,Sunil Kumar & Chorus
Dheere dheere haulay se,Film song,Minoo,1977,Hindi,Yogesh,Salil Chowdhury,Asha & Antara
Dheere dheere haulay se,Film song,Minoo,1977,Hindi,Yogesh,Salil Chowdhury,Antara
Hum hai.n footpaathi,Film song,Minoo,1977,Hindi,Yogesh,Salil Chowdhury,Ranu Mukherjee & Sabita
Teri galiyo.n mein hum aaye,Film song,Minoo,1977,Hindi,Yogesh,Salil Chowdhury,Antara & Manna Dey
Kali re kali re,Film song,Minoo,1977,Hindi,Yogesh,Salil Chowdhury,Antara
Ni sa ga ma pa.. aa aa re mitwaa,Film song,Anand Mahal,1977,Hindi,Yogesh,Salil Chowdhury,Yesudas
Twamasi mama bhooshaNam,Film song,Anand Mahal,1977,Hindi,Vidyapati,Salil Chowdhury,Yesudas
Om iti brahma,Film song,Anand Mahal,1977,Hindi,Yogesh,Salil Chowdhury,Yesudas
Sapnaa dekhe.n mere khoye khoye ,Film song,Anand Mahal,1977,Hindi,Yogesh,Salil Chowdhury,Yesudas & Sabita
AshaDasya prathama divase,Film song,Anand Mahal,1977,Hindi,Kalidasa,Salil Chowdhury,Yesudas
Hum nahi.n dukh se ghabraayei.nge,Film song,Jeenaa Yahaan,1979,Hindi,Yogesh,Salil Chowdhury,Yesudas and Lata
Yehi to hai mere khwaabo.n ka jahaa.n,Film song,Jeenaa Yahaan,1979,Hindi,Yogesh,Salil Chowdhury,Sabita
O shaam aayee rango.n mei.n rangi hui,Film song,Jeenaa Yahaan,1979,Hindi,Yogesh,Salil Chowdhury,Lata
Lahar lahar Dolay re,Film song,Chemmeen Lehrein,1980,Hindi,Yogesh,Salil Chowdhury,Hariharan
Mainaa ke mainaa ke ras bhare naina,Film song,Chemmeen Lehrein,1980,Hindi,Yogesh,Salil Chowdhury,Antara & Suresh Wadkar
Pyaasaa hai man kyaa karoo.n,Film song,Chemmeen Lehrein,1980,Hindi,Yogesh,Salil Chowdhury,Hariharan
"Sun mitwaare, sun matwaare",Film song,Chemmeen Lehrein,1980,Hindi,Yogesh,Salil Chowdhury,"Antara,Sabita,Hariharan & Suresh Wadkar"
Mitwaa re aare-aa-aare,Film song,Kuhaasaa,1980,Hindi,Yogesh,Salil Chowdhury,Sabita
Jaane raaz ye kyaa hai,Film song,Kuhaasaa,1980,Hindi,Yogesh,Salil Chowdhury,Yesudas
Hogaye kiun hogaye,Film song,Kuhaasaa,1980,Hindi,Yogesh,Salil Chowdhury,Nutan Sahay
Jag mei.n hogi kisi ki kahaa.n,Film song,Naani maa,1980,Hindi,Yogesh,Salil Chowdhury,Antara
"Tak dhin dhin, ta ghin ta ghin",Film song,Naani maa,1980,Hindi,Yogesh,Salil Chowdhury,Antara
Ek haseena chali saDak pe,Film song,Room no. 203,1980,Hindi,D.S.Aazaad,Salil Chowdhury,Mahendra Kapoor
Haay re haay.. haay re qismat dekho,Film song,Room no. 203,1980,Hindi,D.S.Aazaad,Salil Chowdhury,Manna Dey
"Kal thaa meraa, aaj ye teraa dil hai",Film song,Room no. 203,1980,Hindi,D.S.Aazaad,Salil Chowdhury,Asha
"Hai.n jawaan, dil ke mere armaa.n",Film song,Room no. 203,1980,Hindi,D.S.Aazaad,Salil Chowdhury,Asha
Title music,Film song,Daisy,1980,Hindi,Not applicable,Salil Chowdhury,Not applicable
Dil to jhoome,Film song,Daisy,1980,Hindi,Prem Dhawan,Salil Chowdhury,Mahendra Kapoor
Bichhad gaye saathi gaye,Film song,Daisy,1980,Hindi,Prem Dhawan,Salil Chowdhury,Mahendra Kapoor
Bhoomi naach rahi aaj,Film song,Daisy,1980,Hindi,Prem Dhawan,Salil Chowdhury,Vani Jairam
Naa milaa,Film song,Daisy,1980,Hindi,Prem Dhawan,Salil Chowdhury,Vani Jairam
o re man gun gun gun gun jhoom ke,Film song,Agnipareeksha,1981,Hindi,Yogesh,Salil Chowdhury,Lata
mil gayee achaanak mujhe har khushi,Film song,Agnipareeksha,1981,Hindi,Yogesh,Salil Chowdhury,Kishore
pyaar hai pyaar aur kuchh bhi nahi.n,Film song,Agnipareeksha,1981,Hindi,Yogesh,Salil Chowdhury,Asha
aaj koyee nahi.n apnaa,Film song,Agnipareeksha,1981,Hindi,Yogesh,Salil Chowdhury,Lata
pyaar mei.n jo bhi,Film song,Dil ka saathi dil,1982,Hindi,Manohar,Salil Chowdhury,Yesudas
ay mere dil gaa pyaar ki dhun par,Film song,Dil ka saathi dil,1982,Hindi,Manohar,Salil Chowdhury,S.Janaki & Chorus
"ye mere prem ki gaaye raagini, ye hawaa",Film song,Dil ka saathi dil,1982,Hindi,Manohar,Salil Chowdhury,S.Janaki & Yesudas
saagar niDhaal ho gayaa,Film song,Dil ka saathi dil,1982,Hindi,Manohar,Salil Chowdhury,Yesudas
"chhalke, saanjh ke nainaa chhalke",Film song,Dil ka saathi dil,1982,Hindi,Manohar,Salil Chowdhury,S. Janaki
ye maatam ki dhun ,Film song,Dil ka saathi dil,1982,Hindi,Manohar,Salil Chowdhury,Yesudas
Tup taap tup taap boonde barsein,Film song,Artap,1982,Hindi,Yogesh,Salil Chowdhury,Talat Mahmood
Aisa lage kahi.n dur se,Film song,Trishagni,1988,Hindi,K.Shailendra,Salil Chowdhury,Asha
Hatho chhodo saanwariya,Film song,Nehru the jewel of India,1989,Hindi,Majrooh,Salil Chowdhury,Asha & Chorus
Nain Chubhat Saajan Bina,Film song,Nehru the jewel of India,1989,Hindi,Majrooh,Salil Chowdhury,Asha
Jahaan bhi dekhaa,Film song,Nehru the jewel of India,1989,Hindi,Majrooh,Salil Chowdhury,Mukesh
Nehru monologue,Film song,Nehru the jewel of India,1989,Hindi,Majrooh,Salil Chowdhury,Amitabh Bachchan
Jaane kaisaa jaadoo ye chal gayaa,Film song,Aakhiri Badlaa,1972,Hindi,Yogesh,Salil Chowdhury,Asha Bhonsle
Man kare yaad wo din,Film song,Aakhiri Badlaa,1989,Hindi,Yogesh,Salil Chowdhury,Kishore
O mere saathi re,Film song,Aakhiri Badlaa,1989,Hindi,Yogesh,Salil Chowdhury,Lata & Kishore
Title music,Film song,Triyaatri,1990,Hindi,Not applicable,Salil Chowdhury,Not applicable
Raghubans_part1,Film song,Triyaatri,1990,Hindi,Unknown,Salil Chowdhury,Balasubhramaniam
Raghubans_part2,Film song,Triyaatri,1990,Hindi,Unknown,Salil Chowdhury,Balasubhramaniam
Music in the horse's stable,Film song,Triyaatri,1990,Hindi,Not applicable,Salil Chowdhury,Not applicable
Nagar hai ye nagar,Film song,Hamaari Shaadi,1990,Hindi,Yogesh,Salil Chowdhury,Kumar Shanu
Aisaa bhi hotaa hai,Film song,Hamaari Shaadi,1990,Hindi,Yogesh,Salil Chowdhury,Kumar Shanu
Rowata hai nainaa,Film song,Tiriacharittar,1994,Hindi,Yogesh,Salil Chowdhury,Antara
O aayaa dekho re salona din,Film song,Tiriacharittar,1994,Hindi,Yogesh,Salil Chowdhury,Antara
Chalo man jaayei.n ghar,Film song,Swami Vivekananda,1994,Hindi,Gulzar,Salil Chowdhury,Yesudas
Sanyaasi talaasi jiski hai,Film song,Swami Vivekananda,1994,Hindi,Gulzar,Salil Chowdhury,Asha
Aanaa hai jaana hai us paar,Film song,Swami Vivekananda,1994,Hindi,Gulzar,Salil Chowdhury,Antara & Chorus
Binaa prem dheeraj nahi.n,Film song,Swami Vivekananda,1994,Hindi,Swami Vivekananda,Salil Chowdhury,Yesudas
Tava birahe vanamaali sakhi,Film song,Swami Vivekananda,1994,Hindi,Jaidev,Salil Chowdhury,Kavita Krishnamoorty
Re man krishna naam kahi liije,Film song,Swami Vivekananda,1994,Hindi,Kabir,Salil Chowdhury,Anoop Jalota
Prabhuji more abgun chit na dharo,Film song,Swami Vivekananda,1994,Hindi,Surdas,Salil Chowdhury,Kavita Krishnamoorty
Na hi surjo na hi jyoti,Film song,Swami Vivekananda,1994,Hindi,Swami Vivekananda,Salil Chowdhury,Yesudas
Jhir jhir barse aaj gagan se,Film song,Meraa Daamaad,1995,Hindi,Yogesh,Salil Chowdhury,"Anuradha Paudwal, Amit Kumar,Sabita,Shailendra Singh"
aaye naa aisaa waqt kisi pe,Film song,Meraa Daamaad,1995,Hindi,Yogesh,Salil Chowdhury,Kavita Krishnamoorty
maange mile naa pyaar,Film song,Maange mile naa pyaar,unknown,Hindi,Yogesh,Salil Chowdhury,Sabita & Antara
Saanson mei.n kyamat ki,Film song,Maange mile naa pyaar,unknown,Hindi,Yogesh,Salil Chowdhury,Sabita
Nainaa mere bhatke kahan kahan,Film song,Maange mile naa pyaar,unknown,Hindi,Yogesh,Salil Chowdhury,Bhupinder
In bahaaron ki kasam,Film song,Raat ki Uljhan,unknown,Hindi,Gulzar,Salil Chowdhury,Hemant & Krishna Kalle
Koi pukaare kahise,Film song,Raat ki Uljhan,unknown,Hindi,Gulzar,Salil Chowdhury,Krishna Kalle
Ek dapha ki baat hai,Film song,Raat ki Uljhan,unknown,Hindi,Gulzar,Salil Chowdhury,Mahendra Kapoor
Gul khile ya na khile,Film song,Raat ki Uljhan,unknown,Hindi,Gulzar,Salil Chowdhury,Md. Rafi & Geeta Dutt
Pal pal dil mera dole,Film song,Raat ki Uljhan,unknown,Hindi,Gulzar,Salil Chowdhury,Sabita Chowdhury
,,,,,,,
,,BENGALI FILM SONGS,,,,,
,,,,,,,
Aaamraa kishoredal,Film song,Poribartan,1949,Bengali,Salil Chowdhury,Salil Chowdhury,Chorus
Abujh man re bal morey,Film song,Poribartan,1949,Bengali,Bimal Ghosh,Salil Chowdhury,Unknown
Puntimaachh daangaay uithyaa foot kaatey,Film song,Barjaatri,1951,Bengali,Gurudas Pal,Salil Chowdhury,Tarja gaan
Roop nagarer pothik ogo,Film song,Barjaatri,1951,Bengali,Bimal Ghosh,Salil Chowdhury,Supriti Ghosh
Shimul shimul shimulti,Film song,Barjaatri,1951,Bengali,Salil Chowdhury,Salil Chowdhury,Bharati Basu
Jhir jhir jhir jhiir jhiri barosa,Film song,Pasher Baadi,1952,Bengali,Salil Chowdhury,Salil Chowdhury,Dhananjoy Bhattyacharya
Rup saayorer buukey,Film song,Pasher Baadi,1952,Bengali,Bimal Ghosh,Salil Chowdhury,Dhananjoy Bhattyacharya
Kathaa kow saara daao,Film song,Pasher Baadi,1952,Bengali,Bimal Ghosh,Salil Chowdhury,Priti Bandopadhyay
Noyone taar bhomra kajol kaalo,Film song,Pasher Baadi,1952,Bengali,Bimal Ghosh,Salil Chowdhury,Dhananjoy Bhattyacharya
Aahaa je kathaa goponey,Film song,Pasher Baadi,1952,Bengali,Bimal Ghosh,Salil Chowdhury,Unknown
Gnaayer bodhu (short version),Film song,Pasher Baadi,1952,Bengali,Salil Chowdhury,Salil Chowdhury,Various
Ki chhande bendhechho kabari,Film song,Pasher Baadi,1952,Bengali,Bimal Ghosh,Salil Chowdhury,Dhananjoy Bhattyacharya
Jab apne haath se,Film song,Pasher Baadi,1952,Bengali,Unknown,Salil Chowdhury,Unknown
Ichhaamoti nodi re,Film song,Baansher Kella,1953,Bengali,Salil Chowdhury,Salil Chowdhury,Unknown
Baaiore naao tufan gaange,Film song,Baansher Kella,1953,Bengali,Unknown,Salil Chowdhury,Unknown
Titumirer aajob katha,Film song,Baansher Kella,1953,Bengali,Unknown,Salil Chowdhury,Unknown
Ke jaabi aay,Film song,Bhor Hoye Elo,1953,Bengali,Salil Chowdhury,Salil Chowdhury,Geeta Mukherjee
Amaay kichhu khetey daao ma,Film song,Bhor Hoye Elo,1953,Bengali,Unknown,Salil Chowdhury,Mahananda Pal
Meghe meghe rimjhim,Film song,Aaj Sondhaay,1954,Bengali,Anal Chatterjee,Salil Chowdhury,Alpona Banerjee
Jibono mono charaney tomaar,Film song,Aaj Sondhaay,1954,Bengali,Salil Chowdhury,Salil Chowdhury,Gayatri Basu
Taare udaas(Hindi),Film song,Aaj Sondhaay,1954,Bengali,Prem Dhawan,Salil Chowdhury,Gayatri Basu
Naa jaani re naa jaani re,Film song,Aaj Sondhaay,1954,Bengali,Salil Chowdhury,Salil Chowdhury,Gayatri Basu
Bondhua laagiya basoro saajanu,Film song,Aaj Sondhaay,1954,Bengali,Unknown,Salil Chowdhury,Unknown
Patthar se badle huey machhli,Film song,Mahila Mahal,1954,Bengali,Unknown,Salil Chowdhury,Unknown
Tarey takka takka tarey,Film song,Mahila Mahal,1954,Bengali,Unknown,Salil Chowdhury,Unknown
"Duru duru duru, guru guru guru",Film song,Mahila Mahal,1954,Bengali,Salil Chowdhury,Salil Chowdhury,Unknown
Tomraa kebol moner sukhey,Film song,Mahila Mahal,1954,Bengali,Salil Chowdhury,Salil Chowdhury,Unknown
Aaji sunne gagan pathey,Film song,Mahila Mahal,1954,Bengali,Unknown,Salil Chowdhury,Unknown
Siyaram siyaram(Hindi),Film song,Rickshawaalaa,1955,Bengali,Govind Munshi,Salil Chowdhury,Satinath Mukhopadhyay & Chorus
Aayre poushali bataase,Film song,Rickshawaalaa,1955,Bengali,Salil Chowdhury,Salil Chowdhury,Chorus
Rim jhim jhim,Film song,Raat Bhore,1956,Bengali,Gowriprosonno Majumdar,Salil Chowdhury,Sandhya Mukherjee
Bone noy mone aaj,Film song,Raat Bhore,1956,Bengali,Gowriprosonno Majumdar,Salil Chowdhury,Sandhya Mukherjee
Dukher seemaa naai,Film song,Raat Bhore,1956,Bengali,Gowriprosonno Majumdar,Salil Chowdhury,Satinath Mukherjee
E maajhi re,Film song,Raat Bhore,1956,Bengali,Gowriprosonno Majumdar,Salil Chowdhury,Shyamal Mitra
Se gaan aami jaai je bhoole,Film song,Akdin Raatre,1956,Bengali,Salil Chowdhury,Salil Chowdhury,Sandhya Mukherjee
Lo se waai waai,Film song,Akdin Raatre,1956,Hindi,Lo se wai wai,Salil Chowdhury,Sandhya Mukherjee & Chorus
Jaago mohana preetam,Film song,Akdin Raatre,1956,Bengali,Salil Chowdhury,Salil Chowdhury,Lata Mangeshkar & Chorus
Ei duniaay bhaai sobey hoi,Film song,Akdin Raatre,1956,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
Maa go amaar,Film song,Baadi Theke Paaliye,1959,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Amaar ei horidaasher bulbul bhaaja(part 1),Film song,Baadi Theke Paaliye,1959,Bengali,Traditional,Salil Chowdhury,Hemanta Mukherjee & Chorus
Amaar ei horidaasher bulbul bhaaja(part 2),Film song,Baadi Theke Paaliye,1959,Bengali,Traditional,Salil Chowdhury,Hemanta Mukherjee & Chorus
Aailaam re koilkatta,Film song,Baadi Theke Paaliye,1959,Bengali,Salil Chowdhury,Salil Chowdhury,Shyamal Mitra
Uthaali paathaali amaar buuk,Film song,Gangaa,1960,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
Shiber aaj bado ranga,Film song,Gangaa,1960,Bengali,Salil Chowdhury,Salil Chowdhury,Ratna Sarkar & Chorus
Sajani o sajani,Film song,Gangaa,1960,Bengali,Nirmalendu Chowdhury,Nirmalendu Chowdhury,Nirmalendu Chowdhuy
Gangaa gangaar tarange,Film song,Gangaa,1960,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita & Chorus
Ichchha kare parandarey,Film song,Gangaa,1960,Bengali,Salil Chowdhury,Salil Chowdhury,Pankaj Mitra & Chorus
Aare o sundoiraa naaoyer maajhi,Film song,Gangaa,1960,Bengali,Nirmalendu Chowdhury,Nirmalendu Chowdhury,Nirmalendu Chowdhuy & Chorus
Shuno shuno he sajan,Film song,Gangaa,1960,Bengali,Salil Chowdhury,Salil Chowdhury,Nirmalendu Chowdhury
Gangaa gangaar tarange,Film song,Gangaa,1960,Bengali,Salil Chowdhury,Salil Chowdhury,Nirmalendu Chowdhury & Chorus
Raat kuheli chharano - female,Film song,Rai Bahaadur,1961,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Jaay din emni jodi jaay jaakna,Film song,Rai Bahaadur,1961,Bengali,Salil Chowdhury,Salil Chowdhury,Hemnata Mukherjee
Raat kuheli chharano - male,Film song,Rai Bahaadur,1961,Bengali,Salil Chowdhury,Salil Chowdhury,Hemanta Mukherjee 
Ogo sobi peyechhi tobu,Film song,Rai Bahaadur,1961,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Aahaa ki roop,Film song,Rai Bahaadur,1961,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury & Mrinal Chakraborty
Ke daake aamaay,Film song,Rai Bahaadur,1961,Bengali,Salil Chowdhury,Salil Chowdhury,Hemanta Mukherjee
Title music,Film song,Kinu Goaalaar Goli,1964,Bengali,Not applicable,Salil Chowdhury,Not applicable
Shraabon ojhor jharey,Film song,Kinu Goaalaar Goli,1964,Bengali,Salil Chowdhury,Salil Chowdhury,Sandhya Mukherjee
Dokhinaa baataase mon kano kaande,Film song,Kinu Goaalaar Goli,1964,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Title music,Film song,Ayananto,1964,Bengali,Not applicable,Salil Chowdhury,Not applicable
E mon haraaye jaay jodi jaak na,Film song,Ayananto,1964,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Amaar mon maane na,Film song,Ayananto,1964,Bengali,Rabindrasangeet,Rabindra Nath Tagore,Sumitra Sen
Title music,Film song,Laal Paathor,1964,Bengali,Not applicable,Salil Chowdhury,Not applicable
Deko naa more deko naa,Film song,Laal Paathor,1964,Bengali,Salil Chowdhury,Salil Chowdhury,Shyamal Mitra & Sabita Chowdhury
Jaa jaa jaa baansi jaa re,Film song,Laal Paathor,1964,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Saans ke jakham(Hindi),Film song,Laal Paathor,1964,Bengali,Gulzar,Salil Chowdhury,Manna yDe
Sokhi de sajaaey phoolo saaj,Film song,Laal Paathor,1964,Bengali,Salil Chowdhury,Salil Chowdhury,Sujata Mukherjee
Rukhe rukhe se(Hindi),Film song,Laal Paathor,1964,Bengali,Gulzar,Salil Chowdhury,Mubarak Begum
"O dieu, O mein (German)",Film song,Laal Paathor,1964,Bengali,Unknown,Rabindra Nath Tagre,Shyamal Mitra
Aalo aamaar aalo ,Film song,Laal Paathor,1964,Bengali,Rabindrasangeet,Rabindra Nath Tagore,Shyamal Mitra
Title music,Film song,Paari,1966,Bengali,Not applicable,Salil Chowdhury,Not applicable
Bondhu re,Film song,Paari,1966,Bengali,Salil Chowdhury,Salil Chowdhury,Hemanta Mukherjee
Bokul boner katha,Film song,Paari,1966,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Toraa sundor saami paabi,Film song,Paari,1966,Bengali,Traditional,Traditional,Sabita Chowdhury & Chorus
Title music,Film song,Marjina Abdullah,1972,Bengali,Not applicable,Salil Chowdhury,Not applicable
Maar jhaadu maar,Film song,Marjina Abdullah,1972,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury & Anup Ghosal
Haay haay pran jaay,Film song,Marjina Abdullah,1972,Bengali,Salil Chowdhury,Salil Chowdhury,Lata Mangeshkar
Baaje go binaa,Film song,Marjina Abdullah,1972,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
O bhaai re bhaai,Film song,Marjina Abdullah,1972,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey & Chorus
O dadabhaai moorty baanaao,Film song,Raktakto Banglaa,1974,Bengali,Salil Chowdhury,Salil Chowdhury,Lata Mangeshkar
Phire aay phire aay,Film song,Raktakto Banglaa,1974,Bengali,Salil Chowdhury,Salil Chowdhury,"Sabita, Manna & Chorus"
Ei desh ei desh aamaar ei desh,Film song,Raktakto Banglaa,1974,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey & Chorus
Title music,Film song,Kobitaa,1977,Bengali,Not applicable,Salil Chowdhury,Not applicable
Shuno shuno go sabey,Film song,Kobitaa,1977,Bengali,Salil Chowdhury,Salil Chowdhury,Kishore
Bujhbe naa keu bujhbe na,Film song,Kobitaa,1977,Bengali,Salil Chowdhury,Salil Chowdhury,Lata Mangeshkar
Dhat teri maaro guli,Film song,Kobitaa,1977,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Aami to kumeer dhorey aanini,Film song,Kobitaa,1977,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
Hathaat bhishon bhaalo laagchhey,Film song,Kobitaa,1977,Bengali,Salil Chowdhury,Salil Chowdhury,Lata Mangeshkar
Title music,Film song,Sister,1977,Bengali,Not applicable,Salil Chowdhury,Not applicable
