song,song_type,film_name,year,language,lyricist,composer,singer
hai.n pyaar ke do matwaale,Film song,Aparadhi kaun,1957,Hindi,Majrooh,Salil Chowdhury,Geeta Dutt & Manna Dey
baat koi matlab ki hai zaroor,Film song,Aparadhi kaun,1957,Hindi,Majrooh,Salil Chowdhury,Asha Bhonsle
koi dekhe to kahey tujhko,Film song,Aparadhi kaun,1957,Hindi,Majrooh,Salil Chowdhury,Asha Bhonsle
"phir wohi dard hai, phir wohi jigar",Film song,Aparadhi kaun,1957,Hindi,Majrooh,Salil Chowdhury,Manna Dey
Title music,Film song,Ek Gaao ki Kahaani,1957,Hindi,Not applicable,Salil Chowdhury,Not applicable
"kaanha khubDa langDa loolaa, buDDhaa",Film song,Ek Gaao ki Kahaani,1957,Hindi,Shailendra,Salil Chowdhury,Asha Bhonsle
"jhoome re, neela ambar jhoome",Film song,Ek Gaao ki Kahaani,1957,Hindi,Shailendra,Salil Chowdhury,Talat Mahmood
bole pihu pihu pi papiharaa,Film song,Ek Gaao ki Kahaani,1957,Hindi,Shailendra,Salil Chowdhury,Lata
"o.. haay koi dekh legaa, mere sang piyaa",Film song,Ek Gaao ki Kahaani,1957,Hindi,Shailendra,Salil Chowdhury,Lata
chale Thumak Thumak taare,Film song,Ek Gaao ki Kahaani,1957,Hindi,Shailendra,Salil Chowdhury,Lata
ho ji ho din holi ka aa gayaa rang Daalo,Film song,Ek Gaao ki Kahaani,1957,Hindi,Shailendra,Salil Chowdhury,"Lata, Manna Dey & Chorus"
raat ne kyaa kyaa khwaab dikhaaye,Film song,Ek Gaao ki Kahaani,1957,Hindi,Shailendra,Salil Chowdhury,Talat Mahmood
Chhuk chhuk..khoob teri gaaDi waah re,Film song,Laalbatti,1957,Hindi,Majrooh,Salil Chowdhury,Manna Dey & Chorus
Kyaa se kyaa ho gayaa re,Film song,Laalbatti,1957,Hindi,Majrooh,Salil Chowdhury,Nirmalendu Chowdhury & Chorus
Haay jhilmil jhilmil ye shaam ke saaye,Film song,Laalbatti,1957,Hindi,Majrooh,Salil Chowdhury,Lata & Chorus
desi kyaa bideshi,Film song,Laalbatti,1957,Hindi,Majrooh,Salil Chowdhury,Shamsad Begum & Chorus
Title music,Film song,Musaafir,1957,Hindi,Not applicable,Salil Chowdhury,Not applicable
man re hari ke gun gaa,Film song,Musaafir,1957,Hindi,Shailendra,Salil Chowdhury,Lata
"ek aaye, ek jaaye musaafir duniyaa ek saraai",Film song,Musaafir,1957,Hindi,Shailendra,Salil Chowdhury,Shyamal Mitra
"munna baDaa pyaara, ammi ka Dulaara",Film song,Musaafir,1957,Hindi,Shailendra,Salil Chowdhury,Kishore
TeDhi TeDhi humse phire saari duniyaa,Film song,Musaafir,1957,Hindi,Shailendra,Salil Chowdhury,Shamsaad Begum & Manna Dey
"laagi naahi chhoote raama, chaahe jiyaa jaaye",Film song,Musaafir,1957,Hindi,Shailendra,Salil Chowdhury,Lata & Dilip Kumar 
"naiyaa ka meri, tuhi khiwaiyyaa",Film song,Zamaanaa,1957,Hindi,Indeevar,Salil Chowdhury,Md. Rafi & Chorus
ulajh jaayei.n nainaa to kaun suljhaaye,Film song,Zamaanaa,1957,Hindi,Prem Dhawan,Salil Chowdhury,Asha Bhonsle & Chorus
din bahaar ke hai.n aao pyaar ka lei.n,Film song,Zamaanaa,1957,Hindi,Prem Dhawan,Salil Chowdhury,Geeta Dutt & Chorus
nahi.n duniyaa aise vaise ki,Film song,Zamaanaa,1957,Hindi,Prem Dhawan,Salil Chowdhury,Manna Dey & Chorus
badal jaaye duniyaa,Film song,Zamaanaa,1957,Hindi,Prem Dhawan,Salil Chowdhury,Asha Bhonsle
Title music,Film song,Madhumati,1958,Hindi,Not applicable,Salil Chowdhury,Not applicable
suhanaa safar,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,Mukesh
aajaa re pardesi,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,Lata
kancha re kancha re,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,"Asha Bhonsle, Sabita Banerji, Gulam Mohammed & Chorus"
zulmi sang aankh laDi,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,Lata & Chorus
ghaDi ghaDi mera dil dhaDke,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,Lata
dil taDap taDap ke,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,Mukesh
chadh gayo paapi bichhuaa,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,Lata & Chorus
jungle mein more naachaa,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,Md. Rafi
tute hue khwaabon mein,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,Md. Rafi
hum haal-e-dil shunaayenge,Film song,Madhumati,1958,Hindi,Shailendra,Salil Chowdhury,Mebarak Begum
tan jale man jaltaa rahe,Film song,Madhumati,1958,Hindi,Majrooh,Salil Chowdhury,Dwijen Mukherjee & Chorus
o duniyaa badla de is duniyaa mein,Film song,Jawaahar,1960,Hindi,Prem Dhawan,Salil Chowdhury,Lata & Chorus
jaagiye gopaala laal,Film song,Jawaahar,1960,Hindi,Prem Dhawan,Salil Chowdhury,Lata
ye pyaar ka zamaanaa,Film song,Jawaahar,1960,Hindi,Prem Dhawan,Salil Chowdhury,Lata & Dwijen Mukherjee
bachche kyon roye bachcho.n,Film song,Jawaahar,1960,Hindi,Prem Dhawan,Salil Chowdhury,Manna Dey & Chorus
